job_id,timestamp,num_shots,central_num_shots,central_entropy,central_entanglement,central_coherence,central_interference,central_bit_balance,inner_num_shots,inner_entropy,inner_entanglement,inner_coherence,inner_interference,inner_bit_balance,middle_num_shots,middle_entropy,middle_entanglement,middle_coherence,middle_interference,middle_bit_balance,outer_num_shots,outer_entropy,outer_entanglement,outer_coherence,outer_interference,outer_bit_balance,job_number,time_minutes
job-d30bouo5l4ds73f0gnu0,2025-09-09 23:47:07.042544+00:00,8192,8192,0.9991328617106271,0.9991328617106271,0.964494954883745,0.192898990976749,0.03466796875,8192,4.991056373462481,0.9982112746924962,0.1926625745412353,0.9633128727061765,0.0349609375,8192,4.988693603111497,0.9977387206222994,0.19235700998559996,0.9617850499279997,0.03603515625,8192,4.948072304642866,0.9896144609285733,0.17669063661286236,0.8834531830643118,0.107275390625,11,27.00412191666667
job-d30bqc05l4ds73f0gp8g,2025-09-09 23:50:08.101443+00:00,8192,8192,0.9981568938315168,0.9981568938315168,0.9477129297145432,0.18954258594290865,0.050537109375,8192,4.9892423832187625,0.9978484766437525,0.19268025320973553,0.9634012660486777,0.034521484375,8192,4.988224358665198,0.9976448717330395,0.19212457881421424,0.9606228940710713,0.037109375,8192,4.959917881827182,0.9919835763654363,0.18101762800746624,0.9050881400373312,0.08759765625,12,30.02177023333333
job-d30brotip27c738icuc0,2025-09-09 23:53:07.474455+00:00,8192,8192,0.9997770990046065,0.9997770990046065,0.9822028921861662,0.19644057843723323,0.017578125,8192,4.987927542212558,0.9975855084425117,0.191742948995757,0.958714744978785,0.03896484375,8192,4.989845230279678,0.9979690460559356,0.19199209186818295,0.9599604593409146,0.0380859375,8192,4.955486472409725,0.9910972944819451,0.17961702725581968,0.8980851362790985,0.09384765625,13,33.01132043333333
job-d30bt5o5l4ds73f0gs00,2025-09-09 23:56:07.354655+00:00,8192,8192,0.9991328617106271,0.9991328617106271,0.964494954883745,0.192898990976749,0.03466796875,8192,4.9869352991268,0.9973870598253599,0.19183142718027796,0.9591571359013897,0.038330078125,8192,4.988212146728502,0.9976424293457005,0.19159800796398968,0.9579900398199485,0.03974609375,8192,4.927813522300363,0.9855627044600727,0.171751625596582,0.8587581279829101,0.128662109375,14,36.00932376666666
job-d30buiiiggks73ctpt0g,2025-09-09 23:59:06.569656+00:00,8192,8192,0.9984309062904124,0.9984309062904124,0.9518732151035304,0.19037464302070609,0.046630859375,8192,4.986593706259583,0.9973187412519167,0.19252926637761608,0.9626463318880806,0.034765625,8192,4.993354932908839,0.9986709865817678,0.19339497718668414,0.9669748859334207,0.03173828125,8192,4.9488579189087165,0.9897715837817433,0.17691200486286376,0.8845600243143187,0.106298828125,15,38.996240449999995
job-d30bvvlotchc73ba93jg,2025-09-10 00:02:06.215726+00:00,8192,8192,0.9987861499422315,0.9987861499422315,0.9578203117610071,0.19156406235220141,0.041015625,8192,4.992958026674942,0.9985916053349884,0.1942865288387595,0.9714326441937976,0.027197265625,8192,4.991583165877049,0.9983166331754099,0.19391130697127834,0.9695565348563917,0.02880859375,8192,4.928848561234657,0.9857697122469314,0.17454092434325305,0.8727046217162654,0.114697265625,16,41.99034161666667
job-d30c1cqiggks73ctpvm0,2025-09-10 00:05:07.334701+00:00,8192,8192,0.9995438109289554,0.9995438109289554,0.9744087981053025,0.1948817596210605,0.025146484375,8192,4.993846971881924,0.9987693943763848,0.19461372779289068,0.9730686389644534,0.025732421875,8192,4.995914614637184,0.9991829229274367,0.19585546512694835,0.9792773256347418,0.019921875,8192,4.948264369105358,0.9896528738210716,0.17758663629357607,0.8879331814678804,0.102783203125,17,45.0089912
job-d30c2ptip27c738id5ag,2025-09-10 00:08:07.446788+00:00,8192,8192,0.9997383985757424,0.9997383985757424,0.9807004114934895,0.1961400822986979,0.01904296875,8192,4.993661452529056,0.9987322905058112,0.19356290075564775,0.9678145037782387,0.03095703125,8192,4.992655498149961,0.9985310996299923,0.1935044056743903,0.9675220283719514,0.0310546875,8192,4.914549537903427,0.9829099075806853,0.17055022693255484,0.8527511346627742,0.132421875,18,48.01085931666667
job-d30c46lotchc73ba97h0,2025-09-10 00:11:06.876601+00:00,8192,8192,0.9997178870677779,0.9997178870677779,0.979948075336213,0.1959896150672426,0.019775390625,8192,4.9928438956951045,0.9985687791390209,0.19495495148971978,0.974774757448599,0.023828125,8192,4.993822042710931,0.9987644085421863,0.19385197870874954,0.9692598935437478,0.029541015625,8192,4.949714955288923,0.9899429910577846,0.17739701060459323,0.886985053022966,0.10400390625,19,51.001356200000004
job-d30c5jtip27c738id7tg,2025-09-10 00:14:07.090110+00:00,8192,8192,0.999999613039001,0.999999613039001,0.9992671914474197,0.19985343828948393,0.000732421875,8192,4.985673582207069,0.9971347164414137,0.1906046380822679,0.9530231904113394,0.04423828125,8192,4.991509368864069,0.9983018737728138,0.1932065091252893,0.9660325456264465,0.03232421875,8192,4.9531239578500825,0.9906247915700165,0.17806093665661837,0.8903046832830919,0.10126953125,20,54.00491468333333
job-d30c70iiggks73ctq4q0,2025-09-10 00:17:06.393698+00:00,8192,8192,0.9998452100782274,0.9998452100782274,0.985199040008722,0.19703980800174442,0.0146484375,8192,4.987882366846111,0.9975764733692222,0.19229650398276443,0.961482519913822,0.036181640625,8192,4.9892933550992,0.9978586710198399,0.1914154089340109,0.9570770446700545,0.040869140625,8192,4.953013423418857,0.9906026846837713,0.18009814629646262,0.9004907314823131,0.090966796875,21,56.993307816666665
job-d30c8dg5l4ds73f0h6p0,2025-09-10 00:20:06.859142+00:00,8192,8192,0.9998347183606215,0.9998347183606215,0.9847005014323114,0.19694010028646228,0.01513671875,8192,4.988732282692037,0.9977464565384073,0.1916764481740581,0.9583822408702906,0.039453125,8192,4.991692908277915,0.998338581655583,0.19406181120951543,0.970309056047577,0.028076171875,8192,4.922579894158152,0.9845159788316303,0.1737132295461904,0.868566147730952,0.1177734375,22,60.00106521666667
job-d30c9qg5l4ds73f0h84g,2025-09-10 00:23:06.911421+00:00,8192,8192,0.9986219371396198,0.9986219371396198,0.9549809882265358,0.19099619764530715,0.043701171875,8192,4.987313157193781,0.9974626314387562,0.19067706064857085,0.9533853032428541,0.044189453125,8192,4.990665449067283,0.9981330898134566,0.1932713174298947,0.9663565871494735,0.0318359375,8192,4.948504902877912,0.9897009805755823,0.17747928814755293,0.8873964407377646,0.103369140625,23,63.001936533333335
job-d30cb85otchc73ba9e70,2025-09-10 00:26:08.168270+00:00,8192,8192,0.9996439236212873,0.9996439236212873,0.9774350376228651,0.19548700752457301,0.022216796875,8192,4.990846198424868,0.9981692396849736,0.19251799300564676,0.9625899650282339,0.03564453125,8192,4.99193989873109,0.998387979746218,0.19262843081880887,0.9631421540940444,0.035302734375,8192,4.956623388595893,0.9913246777191785,0.1798324923174947,0.8991624615874736,0.09296875,24,66.02288401666667
job-d30cckqiggks73ctqa9g,2025-09-10 00:29:07.236017+00:00,8192,8192,0.999764542941324,0.999764542941324,0.9817023905542005,0.1963404781108401,0.01806640625,8192,4.986534361824998,0.9973068723649996,0.1895370023739771,0.9476850118698856,0.049755859375,8192,4.99340733892498,0.998681467784996,0.19498670493579515,0.9749335246789759,0.023779296875,8192,4.954583109515002,0.9909166219030003,0.18015522216765778,0.900776110838289,0.090966796875,25,69.00734646666666
job-d30ce1lotchc73ba9gtg,2025-09-10 00:32:06.563731+00:00,8192,8192,0.9989932803450594,0.9989932803450594,0.9616773692384202,0.19233547384768404,0.037353515625,8192,4.990304476755008,0.9980608953510016,0.19106433331607114,0.9553216665803557,0.042822265625,8192,4.991015135703872,0.9982030271407745,0.19223206733609446,0.9611603366804722,0.037109375,8192,4.913812774015666,0.9827625548031331,0.17295277343854748,0.8647638671927375,0.120068359375,26,71.9961417
