job_id,timestamp,register,num_bits,total_shots,unique_states,coherence,entanglement,interference,bit_balances,entropy,timestamp_dt,time_minutes,phase
job-d39hjjgitjus73f8a8ug,20250923_220606,c_central,1,8192,2,0.5360107421875,0.9962550609655791,0.927978515625,[0.927978515625],0.9962550609655791,2025-09-23 22:06:06,15.983333333333333,Phase 1
job-d39hjjgitjus73f8a8ug,20250923_220606,c_inner,5,8192,32,0.0467529296875,0.9885635443362297,0.9677734375,"[0.97412109375, 0.8037109375, 0.88232421875, 0.86279296875, 0.952880859375]",4.942817721681148,2025-09-23 22:06:06,15.983333333333333,Phase 1
job-d39hjjgitjus73f8a8ug,20250923_220606,c_middle,5,8192,32,0.0389404296875,0.9984266192979264,0.98583984375,"[0.9462890625, 0.93701171875, 0.962158203125, 0.982666015625, 0.98291015625]",4.992133096489632,2025-09-23 22:06:06,15.983333333333333,Phase 1
job-d39hjjgitjus73f8a8ug,20250923_220606,c_outer,5,8192,32,0.05078125,0.9893387288301001,0.9652099609375,"[0.90087890625, 0.9814453125, 0.97119140625, 0.982177734375, 0.844482421875]",4.946693644150501,2025-09-23 22:06:06,15.983333333333333,Phase 1
job-d39hkh8itjus73f8a9qg,20250923_220806,c_central,1,8192,2,0.526611328125,0.9979557083588453,0.94677734375,[0.94677734375],0.9979557083588453,2025-09-23 22:08:06,17.983333333333334,Phase 1
job-d39hkh8itjus73f8a9qg,20250923_220806,c_inner,5,8192,32,0.0489501953125,0.9869481041630651,0.966064453125,"[0.936279296875, 0.770751953125, 0.859130859375, 0.916259765625, 0.9560546875]",4.934740520815326,2025-09-23 22:08:06,17.983333333333334,Phase 1
job-d39hkh8itjus73f8a9qg,20250923_220806,c_middle,5,8192,32,0.0380859375,0.9982895885219232,0.98779296875,"[0.932373046875, 0.941650390625, 0.96923828125, 0.994140625, 0.992919921875]",4.991447942609616,2025-09-23 22:08:06,17.983333333333334,Phase 1
job-d39hkh8itjus73f8a9qg,20250923_220806,c_outer,5,8192,32,0.0494384765625,0.9883684288339767,0.9671630859375,"[0.875244140625, 0.994140625, 0.953369140625, 0.946533203125, 0.84130859375]",4.941842144169883,2025-09-23 22:08:06,17.983333333333334,Phase 1
job-d39hlfkda4cs73aau86g,20250923_221006,c_central,1,8192,2,0.53271484375,0.9969096723426847,0.9345703125,[0.9345703125],0.9969096723426847,2025-09-23 22:10:06,19.983333333333334,Phase 1
job-d39hlfkda4cs73aau86g,20250923_221006,c_inner,5,8192,32,0.0478515625,0.9874389035879595,0.9674072265625,"[0.954345703125, 0.8134765625, 0.85986328125, 0.857421875, 0.9375]",4.937194517939798,2025-09-23 22:10:06,19.983333333333334,Phase 1
job-d39hlfkda4cs73aau86g,20250923_221006,c_middle,5,8192,32,0.0391845703125,0.9975790769155719,0.984619140625,"[0.93115234375, 0.929931640625, 0.942626953125, 0.9921875, 0.960205078125]",4.987895384577859,2025-09-23 22:10:06,19.983333333333334,Phase 1
job-d39hlfkda4cs73aau86g,20250923_221006,c_outer,5,8192,32,0.0491943359375,0.9879419349474894,0.9659423828125,"[0.87646484375, 0.968505859375, 0.963623046875, 0.981689453125, 0.873779296875]",4.939709674737447,2025-09-23 22:10:06,19.983333333333334,Phase 1
job-d39hmfkda4cs73aau94g,20250923_221214,c_inner,5,8192,32,0.05224609375,0.9840642843312107,0.961181640625,"[0.948486328125, 0.744384765625, 0.85791015625, 0.880126953125, 0.9482421875]",4.920321421656054,2025-09-23 22:12:14,22.116666666666667,Phase 2
job-d39hmfkda4cs73aau94g,20250923_221214,c_outer,5,8192,32,0.0499267578125,0.9877582064507845,0.9652099609375,"[0.894287109375, 0.986083984375, 0.926025390625, 0.96484375, 0.82421875]",4.938791032253922,2025-09-23 22:12:14,22.116666666666667,Phase 2
job-d39hmfkda4cs73aau94g,20250923_221214,c_central,1,8192,2,0.5281982421875,0.9977044907019392,0.943603515625,[0.943603515625],0.9977044907019392,2025-09-23 22:12:14,22.116666666666667,Phase 2
job-d39hmfkda4cs73aau94g,20250923_221214,c_middle,5,8192,32,0.0379638671875,0.9983008282999174,0.9874267578125,"[0.960693359375, 0.925537109375, 0.954345703125, 0.989990234375, 0.98095703125]",4.991504141499587,2025-09-23 22:12:14,22.116666666666667,Phase 2
job-d39hnbkgenls73cfvhi0,20250923_221406,c_central,1,8192,2,0.5325927734375,0.9969327078090902,0.934814453125,[0.934814453125],0.9969327078090902,2025-09-23 22:14:06,23.983333333333334,Phase 2
job-d39hnbkgenls73cfvhi0,20250923_221406,c_inner,5,8192,32,0.048095703125,0.9871008084430283,0.968017578125,"[0.966064453125, 0.771484375, 0.86474609375, 0.901123046875, 0.96337890625]",4.9355040422151415,2025-09-23 22:14:06,23.983333333333334,Phase 2
job-d39hnbkgenls73cfvhi0,20250923_221406,c_middle,5,8192,32,0.0389404296875,0.9983459602565599,0.9859619140625,"[0.94677734375, 0.93310546875, 0.96337890625, 0.979248046875, 0.986083984375]",4.9917298012827995,2025-09-23 22:14:06,23.983333333333334,Phase 2
job-d39hnbkgenls73cfvhi0,20250923_221406,c_outer,5,8192,32,0.0484619140625,0.9860778562678829,0.9671630859375,"[0.896484375, 0.982666015625, 0.938232421875, 0.9658203125, 0.767333984375]",4.930389281339415,2025-09-23 22:14:06,23.983333333333334,Phase 2
job-d39ho9kgenls73cfvid0,20250923_221606,c_central,1,8192,2,0.5372314453125,0.9959966240758901,0.925537109375,[0.925537109375],0.9959966240758901,2025-09-23 22:16:06,25.983333333333334,Phase 2
job-d39ho9kgenls73cfvid0,20250923_221606,c_inner,5,8192,32,0.051025390625,0.9884872158679621,0.965087890625,"[0.945556640625, 0.782958984375, 0.883544921875, 0.9130859375, 0.951171875]",4.94243607933981,2025-09-23 22:16:06,25.983333333333334,Phase 2
job-d39ho9kgenls73cfvid0,20250923_221606,c_middle,5,8192,32,0.0435791015625,0.9971532382604889,0.981201171875,"[0.9326171875, 0.919677734375, 0.950439453125, 0.993896484375, 0.968505859375]",4.985766191302444,2025-09-23 22:16:06,25.983333333333334,Phase 2
job-d39ho9kgenls73cfvid0,20250923_221606,c_outer,5,8192,32,0.054443359375,0.984762677349569,0.9613037109375,"[0.8818359375, 0.998291015625, 0.936279296875, 0.978759765625, 0.77392578125]",4.923813386747845,2025-09-23 22:16:06,25.983333333333334,Phase 2
job-d39hp7gitjus73f8ae40,20250923_221806,c_middle,5,8192,32,0.03857421875,0.9978431486079048,0.9859619140625,"[0.931396484375, 0.9345703125, 0.955078125, 0.9873046875, 0.967529296875]",4.989215743039524,2025-09-23 22:18:06,27.983333333333334,Phase 2
job-d39hp7gitjus73f8ae40,20250923_221806,c_central,1,8192,2,0.5118408203125,0.9995954159880835,0.976318359375,[0.976318359375],0.9995954159880835,2025-09-23 22:18:06,27.983333333333334,Phase 2
job-d39hp7gitjus73f8ae40,20250923_221806,c_inner,5,8192,32,0.0479736328125,0.9878792478769741,0.968994140625,"[0.951416015625, 0.798828125, 0.875244140625, 0.867919921875, 0.94775390625]",4.9393962393848705,2025-09-23 22:18:06,27.983333333333334,Phase 2
job-d39hp7gitjus73f8ae40,20250923_221806,c_outer,5,8192,32,0.053466796875,0.9867032051352765,0.963134765625,"[0.888916015625, 0.990966796875, 0.966552734375, 0.960205078125, 0.7666015625]",4.933516025676383,2025-09-23 22:18:06,27.983333333333334,Phase 2
